store,order_id,city,state,shipping_charged,order_total,Clean_State
rbn,14136,,,15,135.59,Santa Cruz
rbn,15927,,,30,129.98,Santa Cruz
rbn,15928,,,30,145.0,Santa Cruz
rbn,15997,,,15,104.99,Santa Cruz
rbn,15998,,,25,158.0,Santa Cruz
rbn,16275,,,0,49.99,Santa Cruz
rbn,16338,,,15,64.99,Santa Cruz
rbn,18635,,,30,149.99,Santa Cruz
rbn,18677,,,25,254.98,Santa Cruz
rbn,18678,,,0,129.0,Santa Cruz
rbn,18714,,,0,259.98,Santa Cruz
rbn,18875,,,0,99.99,Santa Cruz
rbn,18876,,,0,99.99,Santa Cruz
rbn,18914,,,0,0.0,Santa Cruz
rbn,19136,,,0,99.99,Santa Cruz
rbn,19137,,,0,99.99,Santa Cruz
rbn,19291,,,0,199.98,Santa Cruz
rbn,19292,,,0,99.99,Santa Cruz
rbn,19293,,,0,113.0,Santa Cruz
rbn,20433,,,0,49.99,Santa Cruz
rbn,20434,,,0,244.99,Santa Cruz
rbn,20438,,,0,99.99,Santa Cruz
rbn,20440,,,0,99.98,Santa Cruz
rbn,20527,,,0,149.99,Santa Cruz
rbn,20629,,,0,145.0,Santa Cruz
rbn,20769,,,0,169.99,Santa Cruz
rbn,20770,,,0,264.99,Santa Cruz
rbn,20771,,,0,168.0,Santa Cruz
rbn,20772,,S,0,197.0,Santa Cruz
rbn,20924,,,30,299.98,Santa Cruz
rbn,20992,,S,0,179.99,Santa Cruz
rbn,20993,,S,0,115.0,Santa Cruz
rbn,21098,,S,0,279.98,Santa Cruz
rbn,21102,,,0,179.99,Santa Cruz
rbn,21113,,,0,99.99,Santa Cruz
rbn,21270,,,0,145.0,Santa Cruz
rbn,21366,,,0,195.0,Santa Cruz
rbn,21622,,S,0,135.0,Santa Cruz
rbn,21807,,S,0,264.99,Santa Cruz
rbn,21940,,,0,145.0,Santa Cruz
rbn,21941,,,0,115.0,Santa Cruz
rbn,22100,,S,15,114.98,Santa Cruz
rbn,22252,,,0,129.99,Santa Cruz
rbn,22253,,S,15,144.99,Santa Cruz
rbn,22254,,,0,49.99,Santa Cruz
rbn,22307,,,20,69.99,Santa Cruz
rbn,22308,,,0,99.98,Santa Cruz
rbn,22309,,,0,115.0,Santa Cruz
rbn,22310,,,0,99.98,Santa Cruz
rbn,22311,,,15,64.99,Santa Cruz
rbn,22312,,,15,114.98,Santa Cruz
rbn,22355,,,0,230.0,Santa Cruz
rbn,22356,,,0,149.97,Santa Cruz
rbn,22357,,,0,149.97,Santa Cruz
rbn,22409,,,0,0.0,Santa Cruz
rbn,22419,,,15,209.99,Santa Cruz
rbn,22841,,,15,64.99,Santa Cruz
rbn,22842,,,15,64.99,Santa Cruz
rbn,22843,,,0,99.98,Santa Cruz
rbn,22845,,,0,99.98,Santa Cruz
rbn,22846,,,0,115.0,Santa Cruz
rbn,22847,,,0,99.98,Santa Cruz
rbn,22848,,,0,344.98,Santa Cruz
rbn,22933,,,0,239.98,Santa Cruz
rbn,23020,,,0,70.0,Santa Cruz
rbn,23214,,,0,39.99,Santa Cruz
rbn,23216,,,0,79.98,Santa Cruz
rbn,23217,,,15,174.98,Santa Cruz
rbn,23218,,S,15,134.99,Santa Cruz
rbn,23273,,,15,54.99,Santa Cruz
rbn,23274,,,15,54.99,Santa Cruz
rbn,23293,,S,15,344.98,Santa Cruz
rbn,23294,,,15,189.98,Santa Cruz
rbn,23309,,,0,159.98,Santa Cruz
rbn,23310,,,0,39.99,Santa Cruz
rbn,23313,,,0,119.97,Santa Cruz
rbn,23314,,,15,169.99,Santa Cruz
rbn,23315,,,15,164.99,Santa Cruz
rbn,23337,,,15,54.99,Santa Cruz
rbn,23339,,,20,139.97,Santa Cruz
rbn,23340,,,15,214.98,Santa Cruz
rbn,23367,,,15,94.98,Santa Cruz
rbn,23368,,S,15,54.99,Santa Cruz
rbn,23369,,,15,54.99,Santa Cruz
rbn,23370,,,15,54.99,Santa Cruz
rbn,23371,,,15,154.98,Santa Cruz
rbn,23372,,L,15,264.98,La Paz
rbn,23373,,,15,54.99,Santa Cruz
rbn,23374,,L,15,94.98,La Paz
rbn,23375,,S,15,214.98,Santa Cruz
rbn,23449,,,15,164.99,Santa Cruz
rbn,23450,,,15,143.0,Santa Cruz
rbn,23452,,,15,134.97,Santa Cruz
rbn,23454,,,15,130.0,Santa Cruz
rbn,23455,,,15,94.98,Santa Cruz
rbn,23456,,,15,54.99,Santa Cruz
rbn,23457,,,15,143.0,Santa Cruz
rbn,23696,,,15,164.99,Santa Cruz
rbn,23698,,,15,134.97,Santa Cruz
rbn,23834,,,15,164.99,Santa Cruz
rbn,23897,,,15,294.97,Santa Cruz
rbn,23898,,S,15,114.99,Santa Cruz
rbn,23900,,,15,64.99,Santa Cruz
rbn,23905,,,20,69.99,Santa Cruz
rbn,23906,,,15,242.99,Santa Cruz
rbn,24035,,,15,114.99,Santa Cruz
rbn,24070,,,15,214.98,Santa Cruz
rbn,24071,,S,15,114.99,Santa Cruz
rbn,24073,,,15,94.99,Santa Cruz
rbn,24078,,S,0,384.0,Santa Cruz
rbn,24079,,,15,54.99,Santa Cruz
rbn,24081,,,20,199.99,Santa Cruz
rbn,24082,,,15,94.99,Santa Cruz
rbn,24083,,,15,54.99,Santa Cruz
rbn,24084,,,15,104.98,Santa Cruz
rbn,24085,,L,15,134.99,La Paz
rbn,24114,,S,15,54.99,Santa Cruz
rbn,24115,,L,15,542.96,La Paz
rbn,24122,,,15,454.92,Santa Cruz
rbn,24123,,,15,114.98,Santa Cruz
rbn,24126,,S,15,154.98,Santa Cruz
rbn,24127,,C,15,140.0,Cochabamba
rbn,24183,,,0,195.0,Santa Cruz
rbn,24184,,,15,144.99,Santa Cruz
rbn,24214,,,15,279.99,Santa Cruz
rbn,24215,,,15,339.99,Santa Cruz
rbn,24289,,,20,259.98,Santa Cruz
rbn,24493,,,25,269.99,Santa Cruz
rbn,24641,,L,15,154.99,La Paz
rbn,24642,,,0,113.0,Santa Cruz
rbn,24643,,C,15,144.99,Cochabamba
rbn,24788,,,0,577.96,Santa Cruz
rbn,24789,,S,15,144.99,Santa Cruz
rbn,24791,,,0,139.99,Santa Cruz
rbn,24793,,,45,184.99,Santa Cruz
rbn,24795,,,15,144.99,Santa Cruz
rbn,24796,,,0,270.0,Santa Cruz
rbn,24804,,S,15,144.99,Santa Cruz
rbn,24872,,,15,144.99,Santa Cruz
rbn,24873,,,15,284.98,Santa Cruz
rbn,24874,,,20,149.99,Santa Cruz
rbn,24875,,,20,199.98,Santa Cruz
rbn,24876,,S,20,149.99,Santa Cruz
rbn,24888,,,15,153.0,Santa Cruz
rbn,24889,,,15,202.99,Santa Cruz
rbn,24890,,,15,134.99,Santa Cruz
rbn,24891,,,20,149.99,Santa Cruz
rbn,24892,,S,15,154.99,Santa Cruz
rbn,24970,,S,15,144.99,Santa Cruz
rbn,24972,,,30,329.98,Santa Cruz
rbn,24974,,,15,134.99,Santa Cruz
rbn,25013,,S,0,429.99,Santa Cruz
rbn,25015,,,15,144.99,Santa Cruz
rbn,25034,,,15,144.99,Santa Cruz
rbn,25041,,S,15,184.98,Santa Cruz
rbn,25379,,,15,130.0,Santa Cruz
rbn,25380,,,15,144.99,Santa Cruz
rbn,25383,,,15,209.99,Santa Cruz
rbn,25387,,,0,814.96,Santa Cruz
rbn,25389,,,15,144.99,Santa Cruz
rbn,25390,,S,15,144.99,Santa Cruz
rbn,25391,,L,15,144.99,La Paz
rbn,25395,,,0,0.0,Santa Cruz
rbn,25397,,,15,144.99,Santa Cruz
rbn,25407,,,0,129.99,Santa Cruz
rbn,25414,,,0,264.99,Santa Cruz
rbn,25415,,,15,204.98,Santa Cruz
rbn,25416,,L,15,130.0,La Paz
rbn,25429,,L,20,149.99,La Paz
rbn,25458,,,15,144.99,Santa Cruz
rbn,25459,,,15,144.99,Santa Cruz
rbn,25460,,,15,184.98,Santa Cruz
rbn,25586,,,15,144.99,Santa Cruz
rbn,25722,,,15,164.97,Santa Cruz
rbn,25724,,,15,64.99,Santa Cruz
rbn,25725,,,15,64.99,Santa Cruz
rbn,25726,,C,15,114.98,Cochabamba
rbn,25818,,S,15,332.98,Santa Cruz
